adpup   7
aqcar   9
aqpup   6
betad   5
bnpup   5
crcar   20
drvel   10
hwcar   20
kkcen   12
kncen   27
lcarl   10
rysco   60
ryvel   9
s-nor   18
sscma   8
svvel   8
synor   26
t-mon   5
u-car   19
uumus   20
vjara   28
vjcen   26
vwcen   56
vycar   19
vzpup   6
w-sgr   95
wxpup   8
wzsgr   85
x-pup   3
xxcar   11
xycar   10
xzcar   17
yzcar   31
yzsgr   11
